basin name,scn,region name,location name,latitude,longitude,altitude,established,number,data,datatypes
Rufiji Basin,1KB19,Hagafiro,Hagafiro,-9.5083,34.8167,,,57,TRUE,dmf
Rufiji Basin,1KB2,Kilombero,Ifakara,-8.15,36.6333,,,43,TRUE,"met, rain"
Rufiji Basin,1KB26,Kiberege,Kiberege D/S,-8.0722,37.0167,,,61,TRUE,"waterlevel, waterlevel"
Rufiji Basin,1KB31,Kig.Ruaha,Lugema(Mshongo),-8.7667,35.3333,,,67,TRUE,waterlevel
Rufiji Basin,1KB4,Kilombero,Ifwema,-9.0167,36.0056,,,44,TRUE,waterlevel
Rufiji Basin,1KB17,Kilombero,Swero,-8.2,37,,,53,TRUE,"dmf, waterlevel"
Rufiji Basin,1KB14A,Lumemo,Kiburubutu,-8.1222,36.7222,,,49,TRUE,"dmf, waterlevel"
Rufiji Basin,1KB12A,Mchilipa,U/S Utete,-8.7611,36.4778,,,48,TRUE,waterlevel
Rufiji Basin,1KB15,Mgeta,D/S Mchombe Mis,-8.3333,36.1167,,,50,TRUE,"dmf, waterlevel"
Rufiji Basin,1KB9,Mnyera,U/S Taveta Miss,-9.0167,35.5167,,,46,TRUE,"waterlevel, waterlevel"
Rufiji Basin,1KB8,Mpanga,Mpanga Mission,-8.9778,35.9278,,,45,TRUE,"dmf, waterlevel"
Rufiji Basin,1KB18,Ruhudji,Njombe,-9.4,34.8333,,,55,TRUE,"rain, temperature"
Rufiji Basin,1KB18B,Ruhudji,B/L Kifung'a F.,-9.2833,34.8333,,,56,TRUE,"dmf, waterlevel"
Rufiji Basin,1KB30,Ruhudji,Idonya Falls,-9.35,35.1667,,,66,TRUE,waterlevel
Rufiji Basin,1KB24,Sanje,Sanje,-7.6333,37.0111,,,59,TRUE,waterlevel
Rufiji Basin,1KB23,Sonjo,Sonjo,-7.8,36.9667,,,58,TRUE,waterlevel
Rufiji Basin,1KA59,Gt. Ruaha,Msembe,-7.75,34.9,,,35,TRUE,"dmf, waterlevel"
Rufiji Basin,1KA8A,Gt. Ruaha,Salimwani,-8.9,37.1167,,,9,TRUE,"dmf, waterlevel"
Rufiji Basin,1KA9,Kimani,Gt.N.Road,-9.85,34.1833,,,10,TRUE,"dmf, waterlevel"
Rufiji Basin,1KA32A,Lt. Ruaha,Makalala,-8.3333,35.3333,,,22,TRUE,"dmf, waterlevel"
Rufiji Basin,1KA31,Lt. Ruaha,Mawande,-7.5,35.5,,,21,TRUE,"dmf, waterlevel"
Rufiji Basin,1KA2A,Lt. Ruaha,Iringa Ndiuka,-7.7833,35.7167,,,5,TRUE,"dmf, waterlevel"
