May 1960,45.0,,
Jun 1960,20.8,,
Jul 1960,11.7,,
Aug 1960,0.0,,
Sep 1960,4.6,,
Oct 1960,0.0,,
Nov 1960,0.0,,
Dec 1960,2.0,,
Jan 1961,191.8,,
Feb 1961,217.9,,
Mar 1961,447.5,,
Apr 1961,426.5,,
May 1961,81.0,,
Jun 1961,18.3,,
Jul 1961,53.8,,
Aug 1961,0.0,,
Sep 1961,0.0,,
Oct 1961,38.6,,
Nov 1961,374.7,,
Dec 1961,431.0,,
Jan 1962,354.1,,
Feb 1962,278.1,,
Mar 1962,167.9,,
Apr 1962,227.8,,
May 1962,42.4,,
Jun 1962,0.0,,
Jul 1962,0.0,,
Aug 1962,16.0,,
Sep 1962,22.9,,
Oct 1962,29.2,,
Nov 1962,17.0,,
Dec 1962,136.7,,
Jan 1963,445.4,,
Feb 1963,151.0,,
Mar 1963,432.7,,
Apr 1963,370.1,,
May 1963,14.5,,
Jun 1963,14.8,,
Jul 1963,2.0,,
Aug 1963,0.5,,
Sep 1963,0.0,,
Oct 1963,10.9,,
Nov 1963,359.7,,
Dec 1963,406.6,,
Jan 1964,154.6,,
Feb 1964,85.1,,
Mar 1964,446.1,,
Apr 1964,320.0,,
May 1964,29.3,,
Jun 1964,15.5,,
Jul 1964,0.0,,
Aug 1964,8.9,,
Sep 1964,0.0,,
Oct 1964,0.0,,
Nov 1964,0.0,,
Dec 1964,85.6,,
Jan 1965,141.6,,
Feb 1965,142.5,,
Mar 1965,239.0,,
Apr 1965,484.7,,
May 1965,12.5,,
Jun 1965,0.0,,
Jul 1965,2.8,,
Aug 1965,18.5,,
Sep 1965,12.7,,
Oct 1965,5.9,,
Nov 1965,94.3,,
Dec 1965,157.5,,
Jan 1966,221.8,,
Feb 1966,280.0,,
Mar 1966,424.5,,
Apr 1966,173.2,,
May 1966,,m,
Jun 1966,,m,
Jul 1966,,m,
Aug 1966,,m,
Sep 1966,,m,
Oct 1966,,m,
Nov 1966,,m,
Dec 1966,,m,
Jan 1967,58.5,,
Feb 1967,73.6,,
Mar 1967,127.5,,
Apr 1967,472.7,,
May 1967,198.4,,
Jun 1967,45.0,,
Jul 1967,31.2,,
Aug 1967,18.3,,
Sep 1967,40.2,,
Oct 1967,31.0,,
Nov 1967,165.2,,
Dec 1967,366.6,,
Jan 1968,117.2,,
Feb 1968,153.8,,
Mar 1968,429.6,,
Apr 1968,479.3,,
May 1968,67.0,,
Jun 1968,54.2,,
Jul 1968,0.0,,
Aug 1968,0.0,,
Sep 1968,0.0,,
Oct 1968,0.0,,
Nov 1968,86.4,,
Dec 1968,104.4,,
Jan 1969,130.3,,
Feb 1969,180.5,,
Mar 1969,403.2,,
Apr 1969,365.9,,
May 1969,99.7,,
Jun 1969,6.1,,
Jul 1969,0.0,,
Aug 1969,10.6,,
Sep 1969,7.1,,
Oct 1969,0.0,,
Nov 1969,145.8,,
Dec 1969,80.0,,
Jan 1970,315.5,,
Feb 1970,166.1,,
Mar 1970,420.0,,
Apr 1970,190.5,,
May 1970,3.8,,
Jun 1970,0.0,,
Jul 1970,19.4,,
Aug 1970,0.0,,
Sep 1970,21.9,,
Oct 1970,0.0,,
Nov 1970,0.0,,
Dec 1970,240.9,,
Jan 1971,67.7,,
Feb 1971,141.2,,
Mar 1971,318.0,,
Apr 1971,447.2,,
May 1971,46.3,,
Jun 1971,16.3,,
Jul 1971,30.2,,
Aug 1971,0.0,,
Sep 1971,1.6,,
Oct 1971,88.9,,
Nov 1971,33.5,,
Dec 1971,102.8,,
Jan 1972,142.4,,
Feb 1972,251.2,,
Mar 1972,328.8,,
Apr 1972,380.0,,
May 1972,109.1,,
Jun 1972,0.0,,
Jul 1972,4.1,,
Aug 1972,20.1,,
Sep 1972,47.3,,
Oct 1972,58.3,,
Nov 1972,123.8,,
Dec 1972,364.9,,
Jan 1973,261.1,,
Feb 1973,308.5,,
Mar 1973,166.9,,
Apr 1973,365.3,,
May 1973,16.0,,
Jun 1973,11.9,,
Jul 1973,2.5,,
Aug 1973,0.0,,
Sep 1973,1.8,,
Oct 1973,1.0,,
Nov 1973,91.0,,
Dec 1973,79.7,,
Jan 1974,105.8,,
Feb 1974,18.6,,
Mar 1974,393.3,,
Apr 1974,559.9,,
May 1974,241.8,,
Jun 1974,31.8,,
Jul 1974,4.6,,
Aug 1974,14.7,,
Sep 1974,19.8,,
Oct 1974,0.0,,
Nov 1974,11.9,,
Dec 1974,220.2,,
Jan 1975,282.2,,
Feb 1975,130.0,,
Mar 1975,352.3,,
Apr 1975,422.6,,
May 1975,109.4,,
Jun 1975,19.3,,
Jul 1975,9.9,,
Aug 1975,,m,
Sep 1975,24.1,,
Oct 1975,4.6,,
Nov 1975,19.8,,
Dec 1975,142.4,,
Jan 1976,285.5,,
Feb 1976,239.7,,
Mar 1976,311.1,,
Apr 1976,293.3,,
May 1976,75.8,,
Jun 1976,145.0,,
Jul 1976,10.2,,
Aug 1976,3.1,,
Sep 1976,2.8,,
Oct 1976,7.4,,
Nov 1976,2.8,,
Dec 1976,34.5,,
Jan 1977,405.7,,
Feb 1977,128.4,,
Mar 1977,265.1,,
Apr 1977,,m,
May 1977,87.6,,
Jun 1977,0.0,,
Jul 1977,0.0,,
Aug 1977,,m,
Sep 1977,5.3,,
Oct 1977,47.8,,
Nov 1977,137.9,,
Dec 1977,189.1,,
Jan 1978,241.6,,
Feb 1978,240.8,,
Mar 1978,259.0,,
Apr 1978,307.2,,
May 1978,26.7,,
Jun 1978,0.0,,
Jul 1978,0.0,,
Aug 1978,1.5,,
Sep 1978,5.8,,
Oct 1978,0.0,,
Nov 1978,212.1,,
Dec 1978,169.2,,
Jan 1979,433.2,,
Feb 1979,342.3,,
Mar 1979,,m,
Apr 1979,,m,
May 1979,119.8,,
Jun 1979,55.4,,
Jul 1979,,m,
Aug 1979,,m,
Sep 1979,,m,
Oct 1979,,m,
Nov 1979,,m,
Dec 1979,,m,
Jan 1980,,m,
Feb 1980,462.0,,
Mar 1980,,m,
Apr 1980,126.0,,
May 1980,308.0,,
Jun 1980,15.0,,
Jul 1980,10.0,,
Aug 1980,0.0,,
Sep 1980,0.0,,
Oct 1980,19.0,,
Nov 1980,22.9,,
Dec 1980,124.5,,
Jan 1981,148.0,,
Feb 1981,76.0,,
Mar 1981,282.6,,
Apr 1981,304.5,,
May 1981,103.8,,
Jun 1981,70.5,,
Jul 1981,43.2,,
Aug 1981,6.1,,
Sep 1981,3.8,,
Oct 1981,8.9,,
Nov 1981,35.6,,
Dec 1981,124.4,,
Jan 1982,62.1,,
Feb 1982,103.7,,
Mar 1982,167.6,,
Apr 1982,196.8,,
May 1982,233.8,,
Jun 1982,94.6,,
Jul 1982,39.0,,
Aug 1982,14.0,,
Sep 1982,84.7,,
Oct 1982,167.5,,
Nov 1982,285.6,,
Dec 1982,277.5,,
Jan 1983,,m,
Feb 1983,70.8,,
Mar 1983,147.2,,
Apr 1983,88.9,,
May 1983,107.4,,
Jun 1983,114.2,,
Jul 1983,9.8,,
Aug 1983,9.9,,
Sep 1983,52.8,,
Oct 1983,110.2,,
Nov 1983,44.5,,
Dec 1983,71.7,,
Jan 1984,215.5,,
Feb 1984,219.7,,
Mar 1984,156.5,,
Apr 1984,260.5,,
May 1984,91.9,,
Jun 1984,50.3,,
Jul 1984,48.2,,
Aug 1984,,m,
Sep 1984,0.0,,
Oct 1984,54.3,,
Nov 1984,85.6,,
Dec 1984,349.2,,
Jan 1985,114.1,,
Feb 1985,227.4,,
Mar 1985,434.9,,
Apr 1985,127.6,,
May 1985,26.2,,
Jun 1985,17.8,,
Jul 1985,10.2,,
Aug 1985,12.4,,
Sep 1985,0.0,,
Oct 1985,3.8,,
Nov 1985,115.3,,
Dec 1985,150.2,,
Jan 1986,262.3,,
Feb 1986,178.8,,
Mar 1986,261.6,,
Apr 1986,203.0,,
May 1986,35.5,,
Jun 1986,27.7,,
Jul 1986,34.9,,
Aug 1986,24.0,,
Sep 1986,11.2,,
Oct 1986,13.5,,
Nov 1986,44.0,,
Dec 1986,62.1,,
Jan 1987,,m,
Feb 1987,,m,
Mar 1987,,m,
Apr 1987,,m,
May 1987,,m,
Jun 1987,,m,
Jul 1987,45.1,,
Aug 1987,38.1,,
Sep 1987,22.3,,
Oct 1987,1.3,,
Nov 1987,71.3,,
Dec 1987,102.5,,
Jan 1988,44.3,,
Feb 1988,9.4,,
Mar 1988,358.8,,
Apr 1988,140.9,,
May 1988,119.3,,
Jun 1988,67.9,,
Jul 1988,65.8,,
Aug 1988,21.6,,
Sep 1988,25.4,,
Oct 1988,6.1,,
Nov 1988,21.3,,
Dec 1988,197.8,,
Jan 1989,196.1,,
Feb 1989,141.2,,
Mar 1989,153.7,,
Apr 1989,130.5,,
May 1989,60.7,,
Jun 1989,54.4,,
